sex,year,age,country,SUM_suicides_no,SUM_population,SUM_suicides_per100k_pop
female,2002,15-24 years,Argentina,158,3263542,4.84
female,2002,15-24 years,Aruba,0,6151,0
female,2002,15-24 years,Australia,58,1316527,4.41
female,2002,15-24 years,Belgium,24,614288,3.91
female,2002,15-24 years,Brazil,411,17507998,2.35
female,2002,15-24 years,Bulgaria,23,533586,4.31
female,2002,15-24 years,Canada,108,2084984,5.18
female,2002,15-24 years,Chile,47,1285841,3.66
female,2002,15-24 years,Colombia,295,4019790,7.34
female,2002,15-24 years,Cuba,29,732476,3.96
female,2002,15-24 years,Denmark,6,292727,2.05
female,2002,15-24 years,Fiji,6,79795,7.52
female,2002,15-24 years,Finland,23,319060,7.21
female,2002,15-24 years,France,120,3826195,3.14
female,2002,15-24 years,Germany,141,4626561,3.05
female,2002,15-24 years,Greece,4,711776,0.56
female,2002,15-24 years,Guatemala,28,1278693,2.19
female,2002,15-24 years,Hungary,25,692093,3.61
female,2002,15-24 years,Iceland,1,21091,4.74
female,2002,15-24 years,Ireland,14,315817,4.43
female,2002,15-24 years,Israel,14,540419,2.59
female,2002,15-24 years,Italy,47,3067858,1.53
female,2002,15-24 years,Japan,461,7274000,6.34
female,2002,15-24 years,Kuwait,2,168033,1.19
female,2002,15-24 years,Maldives,1,33844,2.95
female,2002,15-24 years,Malta,0,28419,0
female,2002,15-24 years,Mauritius,11,99542,11.05
female,2002,15-24 years,Mexico,260,10166352,2.56
female,2002,15-24 years,Montenegro,0,48660,0
female,2002,15-24 years,Netherlands,26,943864,2.75
female,2002,15-24 years,New Zealand,30,271530,11.05
female,2002,15-24 years,Norway,15,266365,5.63
female,2002,15-24 years,Panama,6,287290,2.09
female,2002,15-24 years,Paraguay,32,552182,5.8
female,2002,15-24 years,Philippines,114,7903007,1.44
female,2002,15-24 years,Poland,84,3157831,2.66
female,2002,15-24 years,Portugal,10,694535,1.44
female,2002,15-24 years,Puerto Rico,2,300542,0.67
female,2002,15-24 years,Republic of Korea,254,3602297,7.05
female,2002,15-24 years,Romania,38,1659695,2.29
female,2002,15-24 years,Russian Federation,1054,11425220,9.23
female,2002,15-24 years,Serbia,13,495315,2.62
female,2002,15-24 years,Seychelles,0,7901,0
female,2002,15-24 years,Singapore,20,209600,9.54
female,2002,15-24 years,Slovakia,9,443566,2.03
female,2002,15-24 years,Slovenia,3,136783,2.19
female,2002,15-24 years,South Africa,26,4851340,0.54
female,2002,15-24 years,Spain,46,2719911,1.69
female,2002,15-24 years,Sri Lanka,335,1772766,18.9
female,2002,15-24 years,Sweden,23,508851,4.52
female,2002,15-24 years,Switzerland,28,420181,6.66
female,2002,15-24 years,Thailand,199,5194271,3.83
female,2002,15-24 years,Trinidad and Tobago,7,130404,5.37
female,2002,15-24 years,Turkmenistan,43,470946,9.13
female,2002,15-24 years,United Kingdom,90,3642294,2.47
