sex,year,country,SUM of suicides_no
female,2004,Netherlands,492
female,2004,New Zealand,113
female,2004,Norway,170
female,2004,Panama,34
female,2004,Paraguay,77
female,2004,Poland,910
female,2004,Puerto Rico,23
female,2004,Qatar,1
female,2004,Republic of Korea,3613
female,2004,Romania,444
female,2004,Russian Federation,8202
female,2004,Saint Lucia,0
female,2004,Saint Vincent and Grenadines,0
female,2004,Serbia,367
female,2004,Seychelles,0
female,2004,Singapore,130
female,2004,Slovakia,112
female,2004,Slovenia,142
female,2004,South Africa,89
female,2004,Spain,857
female,2004,Suriname,18
female,2004,Sweden,321
female,2004,Switzerland,427
female,2004,Thailand,1043
female,2004,Trinidad and Tobago,25
female,2004,Turkmenistan,93
female,2004,Ukraine,1865
female,2004,United Kingdom,1021
female,2004,United States,6873
female,2004,Uruguay,108
female,2004,Uzbekistan,308
female,2005,Albania,0
female,2005,Antigua and Barbuda,0
female,2005,Argentina,664
female,2005,Aruba,5
female,2005,Austria,350
female,2005,Bahamas,1
female,2005,Bahrain,7
female,2005,Barbados,0
female,2005,Belgium,552
female,2005,Belize,1
female,2005,Brazil,1804
female,2005,Bulgaria,255
female,2005,Canada,886
female,2005,Chile,279
female,2005,Colombia,465
female,2005,Costa Rica,41
female,2005,Croatia,223
female,2005,Cuba,351
female,2005,Cyprus,5
female,2005,Czech Republic,292
female,2005,Denmark,174
female,2005,Ecuador,260
female,2005,El Salvador,118
female,2005,Estonia,53
female,2005,Fiji,6
female,2005,Finland,270
female,2005,France,2884
female,2005,Georgia,18
female,2005,Germany,2739
female,2005,Greece,79
female,2005,Grenada,1
female,2005,Guatemala,61
female,2005,Guyana,42
female,2005,Hungary,593
female,2005,Iceland,9
female,2005,Ireland,88
female,2005,Israel,121
female,2005,Italy,939
female,2005,Jamaica,8
female,2005,Japan,8299
female,2005,Kazakhstan,634
female,2005,Kuwait,11
female,2005,Kyrgyzstan,84
female,2005,Latvia,119
female,2005,Lithuania,235
female,2005,Luxembourg,10
female,2005,Maldives,0
female,2005,Malta,3
female,2005,Mauritius,23
female,2005,Mexico,730
female,2005,Montenegro,36
female,2005,Netherlands,500
female,2005,New Zealand,132
female,2005,Norway,173
female,2005,Panama,24
female,2005,Paraguay,84
female,2005,Poland,907
female,2005,Puerto Rico,41
female,2005,Qatar,1
female,2005,Republic of Korea,3985
female,2005,Romania,470
female,2005,Russian Federation,7464
female,2005,Saint Lucia,0
female,2005,Saint Vincent and Grenadines,1
female,2005,San Marino,0
female,2005,Serbia,431
female,2005,Seychelles,1
female,2005,Singapore,119
female,2005,Slovakia,95
female,2005,Slovenia,112
female,2005,South Africa,101
female,2005,Spain,829
female,2005,Suriname,12
female,2005,Sweden,384
female,2005,Switzerland,400
female,2005,Thailand,907
female,2005,Trinidad and Tobago,26
female,2005,Turkmenistan,94
female,2005,Ukraine,1761
female,2005,United Arab Emirates,16
female,2005,United Kingdom,993
female,2005,United States,6729
female,2005,Uruguay,115
female,2005,Uzbekistan,300
female,2006,Albania,0
female,2006,Antigua and Barbuda,0
female,2006,Argentina,612
female,2006,Armenia,17
female,2006,Aruba,2
female,2006,Australia,494
female,2006,Austria,297
female,2006,Bahamas,0
female,2006,Bahrain,11
female,2006,Barbados,0
female,2006,Belgium,540
female,2006,Belize,2
female,2006,Brazil,1801
female,2006,Bulgaria,225
female,2006,Canada,817
female,2006,Chile,297
female,2006,Colombia,460
female,2006,Costa Rica,55
female,2006,Croatia,223
female,2006,Cuba,273
female,2006,Cyprus,7
female,2006,Czech Republic,258
female,2006,Denmark,178
female,2006,Ecuador,298
